leg,N,ms,gflops,note
flow-cuda,4,269.9125,0.00,out=-275/3748
flow-cuda,16,456.1033,0.00,out=1815/6944
flow-cuda,32,1678.1284,0.00,out=-1219/4392
flow-cuda,64,11568.8926,0.00,out=1047/2107
flow-cuda,128,95918.6527,0.00,out=-7312/-933
flow-llvm,4,5.6726,0.00,out=-275/3748
flow-llvm,16,7.7474,0.00,out=1815/6944
flow-llvm,32,7.8442,0.01,out=-1219/4392
flow-llvm,64,10.4167,0.05,out=1047/2107
flow-cuda-cap-f64,16,271.5188,0.00,out=1815/6944
flow-cuda-cap-f64,64,278.5668,0.00,out=1047/2107
flow-cuda-cap-f64,128,279.6051,0.02,out=-7312/-933
flow-cuda-cap-f64,256,263.6094,0.13,out=-3694/10946
flow-cuda-cap-f64,512,256.5198,1.05,out=-22592/-38634
flow-cuda-cap-f64,1024,279.0651,7.70,out=11107/91690
flow-cuda-cap-f64,2048,295.0715,58.22,out=-1045/51275
flow-cuda-cap-f64,4096,399.6910,343.86,out=74348/-302529
flow-cuda-cap-f32,16,274.9505,0.00,out=1815/6944
flow-cuda-cap-f32,64,263.9776,0.00,out=1047/2107
flow-cuda-cap-f32,128,275.4297,0.02,out=-7312/-933
flow-cuda-cap-f32,256,276.0109,0.12,out=-3694/10946
flow-cuda-cap-f32,512,276.6013,0.97,out=-22592/-38634
flow-cuda-cap-f32,1024,279.3415,7.69,out=11107/91690
flow-cuda-cap-f32,2048,286.7106,59.92,out=-1045/51275
flow-cuda-cap-f32,4096,335.1342,410.10,out=74348/-302529
flow-llvm-cap-f64,16,11.9650,0.00,out=1815/6944
flow-llvm-cap-f64,64,8.0854,0.06,out=1047/2107
flow-llvm-cap-f64,128,7.7351,0.54,out=-7312/-933
flow-llvm-cap-f64,256,8.5401,3.93,out=-3694/10946
flow-llvm-cap-f64,512,13.8209,19.42,out=-22592/-38634
flow-llvm-cap-f64,1024,36.0662,59.54,out=11107/91690
flow-llvm-cap-f32,16,9.2375,0.00,out=1815/6944
flow-llvm-cap-f32,64,8.2838,0.06,out=1047/2107
flow-llvm-cap-f32,128,9.2511,0.45,out=-7312/-933
flow-llvm-cap-f32,256,9.9573,3.37,out=-3694/10946
flow-llvm-cap-f32,512,14.9419,17.97,out=-22592/-38634
flow-llvm-cap-f32,1024,62.9300,34.12,out=11107/91690
flow-llvm-cap-f64-1t,512,51.9465,5.17,out=-22592/-38634
flow-llvm-cap-f64-1t,1024,365.6500,5.87,out=11107/91690
flow-llvm-cap-f32-1t,512,79.9072,3.36,out=-22592/-38634
flow-llvm-cap-f32-1t,1024,568.2547,3.78,out=11107/91690
flow-cuda-cap-kernel-f64,16,0.2299,0.04,out=1815/6944 k0_0:0.1731 k0_0:0.0061 k0_2:0.0194 k0_3:0.0144 k0_4:0.0185 k0_5:0.0164 k0_5:0.0067 total:0.2545
flow-cuda-cap-kernel-f64,64,0.2428,2.16,out=1047/2107 k0_0:0.1620 k0_0:0.0061 k0_2:0.0174 k0_3:0.0143 k0_4:0.0215 k0_5:0.0134 k0_5:0.0131 total:0.2478
flow-cuda-cap-kernel-f64,128,0.2435,17.23,out=-7312/-933 k0_0:0.1608 k0_0:0.0060 k0_2:0.0144 k0_3:0.0164 k0_4:0.0266 k0_5:0.0133 k0_5:0.0062 total:0.2437
flow-cuda-cap-kernel-f64,256,0.2588,129.65,out=-3694/10946 k0_0:0.1535 k0_0:0.0061 k0_2:0.0154 k0_3:0.0172 k0_4:0.0469 k0_5:0.0133 k0_5:0.0064 total:0.2590
flow-cuda-cap-kernel-f64,512,0.4807,558.43,out=-22592/-38634 k0_0:0.1567 k0_0:0.0061 k0_2:0.0154 k0_3:0.0152 k0_4:0.2693 k0_5:0.0164 k0_5:0.0069 total:0.4860
flow-cuda-cap-kernel-f64,1024,2.0186,1063.85,out=11107/91690 k0_0:0.1638 k0_0:0.0061 k0_2:0.0184 k0_3:0.0195 k0_4:1.8043 k0_5:0.0143 k0_5:0.0059 total:2.0324
flow-cuda-cap-kernel-f64,2048,14.5659,1179.46,out=-1045/51275 k0_0:0.1720 k0_0:0.0061 k0_2:0.0297 k0_3:0.0369 k0_4:14.3667 k0_5:0.0143 k0_5:0.0065 total:14.6323
flow-cuda-cap-kernel-f64,4096,108.5378,1266.28,out=74348/-302529 k0_0:0.1791 k0_0:0.0061 k0_2:0.2335 k0_3:0.2324 k0_4:107.9736 k0_5:0.0165 k0_5:0.0061 total:108.6475
flow-cuda-cap-kernel-f32,16,0.2313,0.04,out=1815/6944 k0_0:0.1659 k0_0:0.0051 k0_2:0.0173 k0_3:0.0134 k0_4:0.0182 k0_5:0.0154 k0_5:0.0067 total:0.2420
flow-cuda-cap-kernel-f32,64,0.2259,2.32,out=1047/2107 k0_0:0.1588 k0_0:0.0053 k0_2:0.0154 k0_3:0.0164 k0_4:0.0193 k0_5:0.0143 k0_5:0.0062 total:0.2356
flow-cuda-cap-kernel-f32,128,0.2320,18.08,out=-7312/-933 k0_0:0.1505 k0_0:0.0061 k0_2:0.0266 k0_3:0.0143 k0_4:0.0225 k0_5:0.0143 k0_5:0.0061 total:0.2406
flow-cuda-cap-kernel-f32,256,0.2336,143.64,out=-3694/10946 k0_0:0.1485 k0_0:0.0052 k0_2:0.0154 k0_3:0.0164 k0_4:0.0298 k0_5:0.0133 k0_5:0.0064 total:0.2350
flow-cuda-cap-kernel-f32,512,0.3195,840.17,out=-22592/-38634 k0_0:0.1473 k0_0:0.0061 k0_2:0.0144 k0_3:0.0173 k0_4:0.1126 k0_5:0.0154 k0_5:0.0064 total:0.3196
flow-cuda-cap-kernel-f32,1024,0.9982,2151.36,out=11107/91690 k0_0:0.1618 k0_0:0.0061 k0_2:0.0184 k0_3:0.0154 k0_4:0.7975 k0_5:0.0162 k0_5:0.0066 total:1.0220
flow-cuda-cap-kernel-f32,2048,6.8674,2501.66,out=-1045/51275 k0_0:0.1577 k0_0:0.0051 k0_2:0.0236 k0_3:0.0246 k0_4:6.9879 k0_5:0.0143 k0_5:0.0059 total:7.2191
flow-cuda-cap-kernel-f32,4096,56.5814,2429.05,out=74348/-302529 k0_0:0.1782 k0_0:0.0061 k0_2:0.1464 k0_3:0.1587 k0_4:56.0855 k0_5:0.0184 k0_5:0.0060 total:56.5993
flow-llvm-cap-compute-f64,16,0.2014,0.04,out=1815/6944 total:0.3069
flow-llvm-cap-compute-f64,64,0.2655,1.97,out=1047/2107 total:0.2655
flow-llvm-cap-compute-f64,128,0.4460,9.40,out=-7312/-933 total:0.4460
flow-llvm-cap-compute-f64,256,1.1465,29.27,out=-3694/10946 total:1.8895
flow-llvm-cap-compute-f64,512,5.4943,48.86,out=-22592/-38634 total:6.6013
flow-llvm-cap-compute-f64,1024,25.9114,82.88,out=11107/91690 total:32.5155
flow-llvm-cap-compute-f32,16,0.1907,0.04,out=1815/6944 total:0.2312
flow-llvm-cap-compute-f32,64,0.3753,1.40,out=1047/2107 total:0.3954
flow-llvm-cap-compute-f32,128,0.5769,7.27,out=-7312/-933 total:0.5769
flow-llvm-cap-compute-f32,256,1.5013,22.35,out=-3694/10946 total:1.9866
flow-llvm-cap-compute-f32,512,5.9463,45.14,out=-22592/-38634 total:7.4387
flow-llvm-cap-compute-f32,1024,48.6239,44.17,out=11107/91690 total:55.9677
naive-cuda,64,0.0031,169.13,1047.0 clast=2107.0
naive-cuda,128,0.0048,873.81,-7312.0 clast=-933.0
naive-cuda,256,0.0114,2943.37,-3694.0 clast=10946.0
naive-cuda,512,0.0811,3309.93,-22592.0 clast=-38634.0
naive-cuda,1024,0.8215,2614.10,11107.0 clast=91690.0
naive-cuda,2048,6.9604,2468.23,-1045.0 clast=51275.0
naive-cuda,4096,51.5127,2668.06,74348.0 clast=-302529.0
naive-cuda-f64,64,0.0047,111.55,1047.0 clast=2107.0
naive-cuda-f64,128,0.0080,524.29,-7312.0 clast=-933.0
naive-cuda-f64,256,0.0265,1266.20,-3694.0 clast=10946.0
naive-cuda-f64,512,0.2228,1204.83,-22592.0 clast=-38634.0
naive-cuda-f64,1024,1.6467,1304.11,11107.0 clast=91690.0
naive-cuda-f64,2048,13.5674,1266.26,-1045.0 clast=51275.0
naive-cuda-f64,4096,109.8554,1251.09,74348.0 clast=-302529.0
cublas,64,0.0101,51.91,1047.0 clast=2107.0
cublas,128,0.0053,791.38,-7312.0 clast=-933.0
cublas,256,0.0102,3289.65,-3694.0 clast=10946.0
cublas,512,0.0118,22748.77,-22592.0 clast=-38634.0
cublas,1024,0.0444,48366.75,11107.0 clast=91690.0
cublas,2048,0.3125,54975.58,-1045.0 clast=51275.0
cublas,4096,2.3504,58474.71,74348.0 clast=-302529.0
numpy,64,0.0219,23.94,1047.0 clast=2107.0
numpy,128,0.0426,98.46,-7312.0 clast=-933.0
numpy,256,0.1269,264.42,-3694.0 clast=10946.0
numpy,512,0.5637,476.20,-22592.0 clast=-38634.0
numpy,1024,2.4555,874.56,11107.0 clast=91690.0
numpy,2048,17.2310,997.03,-1045.0 clast=51275.0
numpy,4096,158.2443,868.52,74348.0 clast=-302529.0
rust-naive,64,0.2257,2.32,1047.0 clast=2107.0
rust-naive,128,2.8654,1.46,-7312.0 clast=-933.0
rust-naive,256,21.7417,1.54,-3694.0 clast=10946.0
rust-naive,512,223.2116,1.20,-22592.0 clast=-38634.0
rust-naive,1024,6927.3748,0.31,11107.0 clast=91690.0
cpp-naive-f32,64,0.2592,2.02,1047.0 clast=2107.0
cpp-naive-f32,128,2.6397,1.59,-7312.0 clast=-933.0
cpp-naive-f32,256,23.2240,1.44,-3694.0 clast=10946.0
cpp-naive-f32,512,278.5505,0.96,-22592.0 clast=-38634.0
cpp-naive-f32,1024,7401.9277,0.29,11107.0 clast=91690.0
cpp-naive-f64,64,0.4124,1.27,1047.0 clast=2107.0
cpp-naive-f64,128,2.7519,1.52,-7312.0 clast=-933.0
cpp-naive-f64,256,40.9260,0.82,-3694.0 clast=10946.0
cpp-naive-f64,512,922.9927,0.29,-22592.0 clast=-38634.0
cpp-naive-f64,1024,60804.1331,0.04,11107.0 clast=91690.0
chapel-f32,64,0.0560,9.36,1047.0 clast=2107.0
chapel-f32,128,0.1510,27.78,-7312.0 clast=-933.0
chapel-f32,256,0.8590,39.06,-3694.0 clast=10946.0
chapel-f32,512,12.6440,21.23,-22592.0 clast=-38634.0
chapel-f32,1024,135.2580,15.88,11107.0 clast=91690.0
chapel-f64,64,0.0650,8.07,1047.0 clast=2107.0
chapel-f64,128,0.1460,28.73,-7312.0 clast=-933.0
