# utc: 2026-07-23T19:17:10+00:00
# cpu: AMD EPYC 7B12 64-Core Processor
# threads: 128
# core_quota: 61.44
# ram_gb: 252
# clang: Ubuntu clang version 18.1.8 (++20240731024944+3b5b5c1ec4a3-1~exp1~20240731145000.144)
leg,N,ms,gflops,note
flow-llvm-cap-f64,16,12.8052,0.00,out=1815/6944
flow-llvm-cap-f64,64,13.0040,0.04,out=1047/2107
flow-llvm-cap-f64,128,11.5729,0.36,out=-7312/-933
flow-llvm-cap-f64,256,10.5456,3.18,out=-3694/10946
flow-llvm-cap-f64,512,17.2407,15.57,out=-22592/-38634
flow-llvm-cap-f64,1024,36.7217,58.48,out=11107/91690
flow-llvm-cap-f32,16,11.1781,0.00,out=1815/6944
flow-llvm-cap-f32,64,10.2546,0.05,out=1047/2107
flow-llvm-cap-f32,128,8.8739,0.47,out=-7312/-933
flow-llvm-cap-f32,256,12.8040,2.62,out=-3694/10946
flow-llvm-cap-f32,512,14.9160,18.00,out=-22592/-38634
flow-llvm-cap-f32,1024,29.7138,72.27,out=11107/91690
flow-llvm-cap-f64-1t,512,33.8632,7.93,out=-22592/-38634
flow-llvm-cap-f64-1t,1024,179.9768,11.93,out=11107/91690
flow-llvm-cap-f32-1t,512,13.1220,20.46,out=-22592/-38634
flow-llvm-cap-f32-1t,1024,75.2622,28.53,out=11107/91690
flow-llvm-cap-compute-f64,16,0.1888,0.04,out=1815/6944 total:0.3167
flow-llvm-cap-compute-f64,64,0.3349,1.57,out=1047/2107 total:0.3487
flow-llvm-cap-compute-f64,128,0.3938,10.65,out=-7312/-933 total:0.4608
flow-llvm-cap-compute-f64,256,1.1290,29.72,out=-3694/10946 total:1.1290
flow-llvm-cap-compute-f64,512,4.7917,56.02,out=-22592/-38634 total:6.5477
flow-llvm-cap-compute-f64,1024,20.4039,105.25,out=11107/91690 total:20.4039
flow-llvm-cap-compute-f32,16,0.3049,0.03,out=1815/6944 total:0.3548
flow-llvm-cap-compute-f32,64,0.2639,1.99,out=1047/2107 total:0.3025
flow-llvm-cap-compute-f32,128,0.3084,13.60,out=-7312/-933 total:0.6423
flow-llvm-cap-compute-f32,256,0.6349,52.85,out=-3694/10946 total:0.9607
flow-llvm-cap-compute-f32,512,2.9018,92.51,out=-22592/-38634 total:3.7969
flow-llvm-cap-compute-f32,1024,12.7249,168.76,out=11107/91690 total:14.1497
numpy,64,0.0204,25.70,1047.0 clast=2107.0
numpy,128,0.0385,108.94,-7312.0 clast=-933.0
numpy,256,0.1226,273.69,-3694.0 clast=10946.0
numpy,512,0.6205,432.61,-22592.0 clast=-38634.0
numpy,1024,3.2825,654.22,11107.0 clast=91690.0
numpy,2048,14.9107,1152.18,-1045.0 clast=51275.0
numpy,4096,102.1417,1345.57,74348.0 clast=-302529.0
rust-naive,64,0.3346,1.57,1047.0 clast=2107.0
rust-naive,128,2.7734,1.51,-7312.0 clast=-933.0
rust-naive,256,20.9662,1.60,-3694.0 clast=10946.0
rust-naive,512,229.0367,1.17,-22592.0 clast=-38634.0
rust-naive,1024,7044.2675,0.30,11107.0 clast=91690.0
cpp-naive-f32,64,0.4079,1.29,1047.0 clast=2107.0
cpp-naive-f32,128,2.6344,1.59,-7312.0 clast=-933.0
cpp-naive-f32,256,24.0047,1.40,-3694.0 clast=10946.0
cpp-naive-f32,512,307.8687,0.87,-22592.0 clast=-38634.0
cpp-naive-f32,1024,7300.1573,0.29,11107.0 clast=91690.0
cpp-naive-f64,64,0.4409,1.19,1047.0 clast=2107.0
cpp-naive-f64,128,2.6873,1.56,-7312.0 clast=-933.0
cpp-naive-f64,256,40.7820,0.82,-3694.0 clast=10946.0
cpp-naive-f64,512,915.9337,0.29,-22592.0 clast=-38634.0
cpp-naive-f64,1024,7560.3813,0.28,11107.0 clast=91690.0
chapel-f32,64,0.0680,7.71,1047.0 clast=2107.0
chapel-f32,128,0.1530,27.41,-7312.0 clast=-933.0
chapel-f32,256,0.8850,37.91,-3694.0 clast=10946.0
chapel-f32,512,8.8760,30.24,-22592.0 clast=-38634.0
chapel-f32,1024,122.7620,17.49,11107.0 clast=91690.0
chapel-f64,64,0.0650,8.07,1047.0 clast=2107.0
chapel-f64,128,0.1600,26.21,-7312.0 clast=-933.0
chapel-f64,256,1.3470,24.91,-3694.0 clast=10946.0
chapel-f64,512,15.0470,17.84,-22592.0 clast=-38634.0
chapel-f64,1024,122.0840,17.59,11107.0 clast=91690.0
cpp-mt-f32,64,0.0165,31.78,1047.0 clast=2107.0 T=62
cpp-mt-f32,128,0.1399,29.98,-7312.0 clast=-933.0 T=62
cpp-mt-f32,256,0.8211,40.87,-3694.0 clast=10946.0 T=62
cpp-mt-f32,512,8.8575,30.31,-22592.0 clast=-38634.0 T=62
cpp-mt-f32,1024,138.0766,15.55,11107.0 clast=91690.0 T=62
cpp-mt-f64,64,0.0193,27.17,1047.0 clast=2107.0 T=62
cpp-mt-f64,128,0.1429,29.35,-7312.0 clast=-933.0 T=62
cpp-mt-f64,256,1.2242,27.41,-3694.0 clast=10946.0 T=62
cpp-mt-f64,512,16.2648,16.50,-22592.0 clast=-38634.0 T=62
cpp-mt-f64,1024,169.1688,12.69,11107.0 clast=91690.0 T=62
rust-mt,64,0.0139,37.72,1047.0 clast=2107.0 T=61
rust-mt,128,0.1381,30.37,-7312.0 clast=-933.0 T=61
rust-mt,256,0.8554,39.23,-3694.0 clast=10946.0 T=61
rust-mt,512,8.6763,30.94,-22592.0 clast=-38634.0 T=61
rust-mt,1024,120.7706,17.78,11107.0 clast=91690.0 T=61
numpy-1t,64,0.0105,49.93,1047.0 clast=2107.0
numpy-1t,128,0.0558,75.17,-7312.0 clast=-933.0
numpy-1t,256,0.3802,88.25,-3694.0 clast=10946.0
numpy-1t,512,2.8351,94.68,-22592.0 clast=-38634.0
numpy-1t,1024,22.7177,94.53,11107.0 clast=91690.0
numpy-1t,2048,177.8961,96.57,-1045.0 clast=51275.0
numpy-1t,4096,1399.8326,98.18,74348.0 clast=-302529.0
chapel-1t-f32,64,0.3410,1.54,1047.0 clast=2107.0
chapel-1t-f32,128,3.0610,1.37,-7312.0 clast=-933.0
chapel-1t-f32,256,25.3860,1.32,-3694.0 clast=10946.0
chapel-1t-f32,512,247.8400,1.08,-22592.0 clast=-38634.0
chapel-1t-f32,1024,6256.2150,0.34,11107.0 clast=91690.0
chapel-1t-f64,64,0.3640,1.44,1047.0 clast=2107.0
chapel-1t-f64,128,3.1480,1.33,-7312.0 clast=-933.0
chapel-1t-f64,256,30.7990,1.09,-3694.0 clast=10946.0
chapel-1t-f64,512,737.6140,0.36,-22592.0 clast=-38634.0
chapel-1t-f64,1024,7615.1730,0.28,11107.0 clast=91690.0
