# utc: 2026-07-24T14:27:12+00:00
# cpu: AMD EPYC 7B13 64-Core Processor
# threads: 128
# core_quota: 61.44
# ram_gb: 504
# clang: Ubuntu clang version 18.1.8 (++20240731024944+3b5b5c1ec4a3-1~exp1~20240731145000.144)
leg,N,ms,gflops,note
flow-llvm-cap-f64,16,6.7017,0.00,out=1815/6944
flow-llvm-cap-f64,64,6.5697,0.08,out=1047/2107
flow-llvm-cap-f64,128,6.4666,0.65,out=-7312/-933
flow-llvm-cap-f64,256,7.3352,4.57,out=-3694/10946
flow-llvm-cap-f64,512,12.2551,21.90,out=-22592/-38634
flow-llvm-cap-f64,1024,28.5086,75.33,out=11107/91690
flow-llvm-cap-f64,2048,116.2317,147.81,out=-1045/51275
flow-llvm-cap-f64,4096,502.2584,273.64,out=74348/-302529
flow-llvm-cap-f32,16,7.2750,0.00,out=1815/6944
flow-llvm-cap-f32,64,6.7467,0.08,out=1047/2107
flow-llvm-cap-f32,128,8.0596,0.52,out=-7312/-933
flow-llvm-cap-f32,256,6.7443,4.98,out=-3694/10946
flow-llvm-cap-f32,512,10.6630,25.17,out=-22592/-38634
flow-llvm-cap-f32,1024,23.0960,92.98,out=11107/91690
flow-llvm-cap-f32,2048,75.3181,228.10,out=-1045/51275
flow-llvm-cap-f32,4096,318.8285,431.07,out=74348/-302529
flow-llvm-cap-f64-1t,512,26.2026,10.24,out=-22592/-38634
flow-llvm-cap-f64-1t,1024,143.7850,14.94,out=11107/91690
flow-llvm-cap-f64-1t,2048,999.3271,17.19,out=-1045/51275
flow-llvm-cap-f64-1t,4096,7441.2825,18.47,out=74348/-302529
flow-llvm-cap-f32-1t,512,15.0314,17.86,out=-22592/-38634
flow-llvm-cap-f32-1t,1024,70.6191,30.41,out=11107/91690
flow-llvm-cap-f32-1t,2048,485.4405,35.39,out=-1045/51275
flow-llvm-cap-f32-1t,4096,3682.0371,37.33,out=74348/-302529
flow-llvm-cap-f64-fma,256,8.2560,4.06,out=-3694/10946
flow-llvm-cap-f64-fma,512,13.2018,20.33,out=-22592/-38634
flow-llvm-cap-f64-fma,1024,28.3524,75.74,out=11107/91690
flow-llvm-cap-f64-fma,2048,115.1024,149.26,out=-1045/51275
flow-llvm-cap-f64-fma,4096,530.2413,259.20,out=74348/-302529
flow-llvm-cap-f32-fma,256,9.0673,3.70,out=-3694/10946
flow-llvm-cap-f32-fma,512,11.5563,23.23,out=-22592/-38634
flow-llvm-cap-f32-fma,1024,25.1755,85.30,out=11107/91690
flow-llvm-cap-f32-fma,2048,71.8190,239.21,out=-1045/51275
flow-llvm-cap-f32-fma,4096,308.7663,445.12,out=74348/-302529
flow-llvm-cap-f64-fma-1t,512,21.1520,12.69,out=-22592/-38634
flow-llvm-cap-f64-fma-1t,1024,107.0429,20.06,out=11107/91690
flow-llvm-cap-f64-fma-1t,2048,713.8359,24.07,out=-1045/51275
flow-llvm-cap-f64-fma-1t,4096,5149.7241,26.69,out=74348/-302529
flow-llvm-cap-f32-fma-1t,512,11.7593,22.83,out=-22592/-38634
flow-llvm-cap-f32-fma-1t,1024,55.2741,38.85,out=11107/91690
flow-llvm-cap-f32-fma-1t,2048,341.6677,50.28,out=-1045/51275
flow-llvm-cap-f32-fma-1t,4096,2484.8994,55.31,out=74348/-302529
flow-llvm-cap-compute-f64,16,0.1429,0.06,out=1815/6944 total:0.1429
flow-llvm-cap-compute-f64,64,0.2517,2.08,out=1047/2107 total:0.3402
flow-llvm-cap-compute-f64,128,0.4192,10.01,out=-7312/-933 total:0.4192
flow-llvm-cap-compute-f64,256,1.1776,28.49,out=-3694/10946 total:1.3521
flow-llvm-cap-compute-f64,512,5.2222,51.40,out=-22592/-38634 total:5.3155
flow-llvm-cap-compute-f64,1024,18.5920,115.51,out=11107/91690 total:21.0835
flow-llvm-cap-compute-f64,2048,87.5350,196.26,out=-1045/51275 total:87.5350
flow-llvm-cap-compute-f64,4096,416.5871,329.92,out=74348/-302529 total:455.6353
flow-llvm-cap-compute-f32,16,0.1973,0.04,out=1815/6944 total:0.2446
flow-llvm-cap-compute-f32,64,0.2204,2.38,out=1047/2107 total:0.3023
flow-llvm-cap-compute-f32,128,0.2834,14.80,out=-7312/-933 total:0.2834
flow-llvm-cap-compute-f32,256,0.7457,45.00,out=-3694/10946 total:1.0441
flow-llvm-cap-compute-f32,512,4.2197,63.61,out=-22592/-38634 total:6.8474
flow-llvm-cap-compute-f32,1024,13.0996,163.94,out=11107/91690 total:16.5774
flow-llvm-cap-compute-f32,2048,46.3766,370.44,out=-1045/51275 total:69.2288
flow-llvm-cap-compute-f32,4096,275.5461,498.79,out=74348/-302529 total:288.0557
flow-llvm-cap-fma-compute-f64,16,0.1778,0.05,out=1815/6944 total:0.1921
flow-llvm-cap-fma-compute-f64,64,0.2427,2.16,out=1047/2107 total:0.2427
flow-llvm-cap-fma-compute-f64,128,0.4846,8.66,out=-7312/-933 total:0.5492
flow-llvm-cap-fma-compute-f64,256,1.1663,28.77,out=-3694/10946 total:1.1663
flow-llvm-cap-fma-compute-f64,512,5.4313,49.42,out=-22592/-38634 total:5.4313
flow-llvm-cap-fma-compute-f64,1024,18.6667,115.04,out=11107/91690 total:20.8535
flow-llvm-cap-fma-compute-f64,2048,84.7119,202.80,out=-1045/51275 total:90.8118
flow-llvm-cap-fma-compute-f64,4096,470.8828,291.88,out=74348/-302529 total:487.8449
flow-llvm-cap-fma-compute-f32,16,0.1543,0.05,out=1815/6944 total:0.1543
flow-llvm-cap-fma-compute-f32,64,0.1987,2.64,out=1047/2107 total:0.1987
flow-llvm-cap-fma-compute-f32,128,0.3283,12.78,out=-7312/-933 total:0.3926
flow-llvm-cap-fma-compute-f32,256,0.7778,43.14,out=-3694/10946 total:0.7778
flow-llvm-cap-fma-compute-f32,512,5.5686,48.21,out=-22592/-38634 total:5.5686
flow-llvm-cap-fma-compute-f32,1024,18.1477,118.33,out=11107/91690 total:20.1925
flow-llvm-cap-fma-compute-f32,2048,57.8909,296.76,out=-1045/51275 total:77.5442
flow-llvm-cap-fma-compute-f32,4096,283.5256,484.75,out=74348/-302529 total:335.8711
numpy,64,0.0179,29.29,1047.0 clast=2107.0
numpy,128,0.0421,99.63,-7312.0 clast=-933.0
numpy,256,0.1027,326.72,-3694.0 clast=10946.0
numpy,512,0.3908,686.89,-22592.0 clast=-38634.0
numpy,1024,1.8673,1150.05,11107.0 clast=91690.0
numpy,2048,8.1291,2113.38,-1045.0 clast=51275.0
numpy,4096,48.1202,2856.16,74348.0 clast=-302529.0
rust-naive,64,0.2625,2.00,1047.0 clast=2107.0
rust-naive,128,3.8186,1.10,-7312.0 clast=-933.0
rust-naive,256,21.8026,1.54,-3694.0 clast=10946.0
rust-naive,512,194.1786,1.38,-22592.0 clast=-38634.0
rust-naive,1024,3783.4313,0.57,11107.0 clast=91690.0
rust-naive,2048,44886.5745,0.38,-1045.0 clast=51275.0
rust-naive,4096,412890.0254,0.33,74348.0 clast=-302529.0
cpp-naive-f32,64,0.1750,3.00,1047.0 clast=2107.0
cpp-naive-f32,128,2.5530,1.64,-7312.0 clast=-933.0
cpp-naive-f32,256,22.6135,1.48,-3694.0 clast=10946.0
cpp-naive-f32,512,319.0654,0.84,-22592.0 clast=-38634.0
cpp-naive-f32,1024,4982.0334,0.43,11107.0 clast=91690.0
cpp-naive-f32,2048,60563.3202,0.28,-1045.0 clast=51275.0
cpp-naive-f32,4096,498245.2603,0.28,74348.0 clast=-302529.0
cpp-naive-f64,64,0.1622,3.23,1047.0 clast=2107.0
cpp-naive-f64,128,2.4465,1.71,-7312.0 clast=-933.0
cpp-naive-f64,256,34.2414,0.98,-3694.0 clast=10946.0
cpp-naive-f64,512,408.9426,0.66,-22592.0 clast=-38634.0
cpp-naive-f64,1024,4570.0062,0.47,11107.0 clast=91690.0
cpp-naive-f64,2048,58704.4791,0.29,-1045.0 clast=51275.0
cpp-naive-f64,4096,520735.9250,0.26,74348.0 clast=-302529.0
chapel-f32,64,0.0570,9.20,1047.0 clast=2107.0
chapel-f32,128,0.1070,39.20,-7312.0 clast=-933.0
chapel-f32,256,0.5170,64.90,-3694.0 clast=10946.0
chapel-f32,512,5.9940,44.78,-22592.0 clast=-38634.0
chapel-f32,1024,96.9960,22.14,11107.0 clast=91690.0
chapel-f32,2048,1129.0520,15.22,-1045.0 clast=51275.0
chapel-f32,4096,9575.5420,14.35,74348.0 clast=-302529.0
chapel-f64,64,0.0590,8.89,1047.0 clast=2107.0
chapel-f64,128,0.1140,36.79,-7312.0 clast=-933.0
chapel-f64,256,1.5310,21.92,-3694.0 clast=10946.0
chapel-f64,512,8.7690,30.61,-22592.0 clast=-38634.0
chapel-f64,1024,103.1840,20.81,11107.0 clast=91690.0
chapel-f64,2048,1170.3840,14.68,-1045.0 clast=51275.0
chapel-f64,4096,9900.0590,13.88,74348.0 clast=-302529.0
cpp-mt-f32,64,0.0062,84.56,1047.0 clast=2107.0 T=62
cpp-mt-f32,128,0.0615,68.20,-7312.0 clast=-933.0 T=62
cpp-mt-f32,256,0.4797,69.95,-3694.0 clast=10946.0 T=62
