leg,N,ms,gflops,note
flow-cuda,4,293.5141,0.00,out=-275/3748
flow-cuda,16,396.2627,0.00,out=1815/6944
flow-cuda,32,1261.3622,0.00,out=-1219/4392
flow-cuda,64,8518.6976,0.00,out=1047/2107
flow-cuda,128,68491.7472,0.00,out=-7312/-933
flow-llvm,4,5.6013,0.00,out=-275/3748
flow-llvm,16,7.7529,0.00,out=1815/6944
flow-llvm,32,7.4743,0.01,out=-1219/4392
flow-llvm,64,8.3770,0.06,out=1047/2107
flow-llvm,128,96.0384,0.04,out=-7312/-933
flow-cuda-cap-f64,16,274.8934,0.00,out=1815/6944
flow-cuda-cap-f64,64,278.8930,0.00,out=1047/2107
flow-cuda-cap-f64,128,276.2692,0.02,out=-7312/-933
flow-cuda-cap-f64,256,262.6722,0.13,out=-3694/10946
flow-cuda-cap-f64,512,275.1671,0.98,out=-22592/-38634
flow-cuda-cap-f64,1024,278.6050,7.71,out=11107/91690
flow-cuda-cap-f64,2048,306.0247,56.14,out=-1045/51275
flow-cuda-cap-f64,4096,524.9812,261.80,out=74348/-302529
flow-cuda-cap-f32,16,276.9774,0.00,out=1815/6944
flow-cuda-cap-f32,64,272.7629,0.00,out=1047/2107
flow-cuda-cap-f32,128,279.8177,0.01,out=-7312/-933
flow-cuda-cap-f32,256,274.1251,0.12,out=-3694/10946
flow-cuda-cap-f32,512,275.3026,0.98,out=-22592/-38634
flow-cuda-cap-f32,1024,258.1867,8.32,out=11107/91690
flow-cuda-cap-f32,2048,283.8535,60.52,out=-1045/51275
flow-cuda-cap-f32,4096,333.9023,411.61,out=74348/-302529
flow-llvm-cap-f64,16,11.5894,0.00,out=1815/6944
flow-llvm-cap-f64,64,7.1454,0.07,out=1047/2107
flow-llvm-cap-f64,128,8.2099,0.51,out=-7312/-933
flow-llvm-cap-f64,256,15.2793,2.20,out=-3694/10946
flow-llvm-cap-f64,512,38.3963,6.99,out=-22592/-38634
flow-llvm-cap-f64,1024,199.4942,10.76,out=11107/91690
flow-llvm-cap-f32,16,11.2243,0.00,out=1815/6944
flow-llvm-cap-f32,64,9.6066,0.05,out=1047/2107
flow-llvm-cap-f32,128,12.9663,0.32,out=-7312/-933
flow-llvm-cap-f32,256,10.4079,3.22,out=-3694/10946
flow-llvm-cap-f32,512,26.9166,9.97,out=-22592/-38634
flow-llvm-cap-f32,1024,183.9928,11.67,out=11107/91690
flow-llvm-cap-f64-1t,512,403.7814,0.66,out=-22592/-38634
flow-llvm-cap-f64-1t,1024,3447.6163,0.62,out=11107/91690
flow-llvm-cap-f32-1t,512,318.2523,0.84,out=-22592/-38634
flow-llvm-cap-f32-1t,1024,3505.3694,0.61,out=11107/91690
flow-cuda-cap-kernel-f64,16,0.1942,0.04,out=1815/6944 k0_0:0.1555 k0_0:0.0041 k0_2:0.0102 k0_3:0.0103 k0_4:0.0132 k0_5:0.0083 k0_5:0.0044 total:0.2060
flow-cuda-cap-kernel-f64,64,0.2014,2.60,out=1047/2107 k0_0:0.1464 k0_0:0.0041 k0_2:0.0092 k0_3:0.0102 k0_4:0.0175 k0_5:0.0132 k0_5:0.0047 total:0.2054
flow-cuda-cap-kernel-f64,128,0.2164,19.38,out=-7312/-933 k0_0:0.1546 k0_0:0.0061 k0_2:0.0102 k0_3:0.0113 k0_4:0.0276 k0_5:0.0102 k0_5:0.0045 total:0.2246
flow-cuda-cap-kernel-f64,256,0.2593,129.40,out=-3694/10946 k0_0:0.1628 k0_0:0.0041 k0_2:0.0091 k0_3:0.0102 k0_4:0.0727 k0_5:0.0111 k0_5:0.0041 total:0.2742
flow-cuda-cap-kernel-f64,512,0.7045,381.03,out=-22592/-38634 k0_0:0.1516 k0_0:0.0041 k0_2:0.0123 k0_3:0.0093 k0_4:0.5139 k0_5:0.0092 k0_5:0.0041 total:0.7044
flow-cuda-cap-kernel-f64,1024,4.1129,522.13,out=11107/91690 k0_0:0.1608 k0_0:0.0041 k0_2:0.0131 k0_3:0.0121 k0_4:3.9260 k0_5:0.0154 k0_5:0.0048 total:4.1363
flow-cuda-cap-kernel-f64,2048,31.4577,546.13,out=-1045/51275 k0_0:0.1464 k0_0:0.0040 k0_2:0.0246 k0_3:0.0317 k0_4:31.2105 k0_5:0.0461 k0_5:0.0053 total:31.4686
flow-cuda-cap-kernel-f64,4096,239.7076,573.36,out=74348/-302529 k0_0:0.1782 k0_0:0.0041 k0_2:0.2263 k0_3:0.2263 k0_4:239.0497 k0_5:0.0584 k0_5:0.0054 total:239.7483
